,No.,GaodeLng,GaodeLat,housing_price,compact,open,large_low_rise,UGS,Distance,T20200518,T20210725,T20210324,T20191002,T20190904,T20221020,T20190306,T20230809,T20211221,T20191031,T20220522,T20200610,T20210505,T20200129,T20220410,T20220628,T20220406,T20200202,T20221125,T20230412,T20220611,T20210427,T20230408,T20211125,T20190707,T20220505,T20220702,T20230804,T20190610,T20191018,T20210212,T20210613,T20230915,T20210530,T20210501,T20190815,T20220928,T20200902,T20220501,T20220530,T20220526,T20230612,T20210328,T20200324,District_id,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Dist_8
0,1,113.5971302,34.73956901,0.827612005,68.68200016,28.17937404,3.138627633,6.668609054,5.890108241,21.1179804,,,33.91087616,28.75385659,25.67725525,10.04433797,34.46243591,19.21075098,22.22854292,30.73423151,36.97038279,21.62725563,,,40.361559,25.215552,16.19538002,16.42308668,10.29294691,30.99430982,30.67506911,19.87516372,13.48503539,30.01548252,24.93855852,34.1601295,50.83467229,38.6618974,12.52250404,9.124549635,,26.73100548,42.24675598,26.22520599,36.77377991,35.44359008,33.07334052,23.28180804,45.25591676,36.92135239,30.7973488,19.28261804,22.03659001,1,1,0,0,0,0,0,0,0
1,2,113.5871282,34.74821571,1.289821438,44.98900732,23.06800447,27.31386245,5.182315663,6.624584626,17.71700592,,,34.83728706,30.00623192,24.11108112,,33.03719514,19.72000597,24.47132191,31.19747326,38.02380352,22.55227214,,,41.2029552,25.91433496,16.62541,17.12588215,10.52536165,31.58223535,32.24597941,21.54572934,13.45311135,30.96699913,25.42114644,34.26911567,50.12289497,,12.27568469,,,26.67994244,43.27671444,28.22963302,37.81188087,36.17507046,34.20560403,23.99785218,45.86321369,37.33808283,30.86013214,22.19013081,22.45163002,1,1,0,0,0,0,0,0,0
2,3,113.5384009,34.76622559,1.249579629,40.22857992,31.85714586,25.51758339,4.396227321,11.14908804,19.91037935,36.73177173,,35.1341093,29.43577232,26.17418236,,34.23923668,19.55554122,23.35141578,30.57793095,40.10818799,23.32203211,,,38.08445156,26.30553593,16.5608668,17.13819949,10.75525703,31.10463085,29.51452223,20.51852474,13.06709483,30.21550503,25.15199422,32.29469066,48.70437085,39.69737324,12.27538071,,,26.15577698,43.31164129,28.65151555,37.06404218,36.30427328,32.86493861,24.68190601,46.78960653,37.73311032,28.88308754,25.85684165,20.89593186,1,1,0,0,0,0,0,0,0
3,4,113.5359313,34.766242,1.150515723,38.43011471,32.18322952,28.34119013,4.949115097,11.37370293,20.04572954,36.86158447,,35.14393114,30.04143477,25.52538128,,34.26339377,19.64238129,23.48628743,30.74866045,40.26137807,23.29745976,,,38.49753712,26.5529004,16.44962056,17.21688415,10.81249128,31.54736443,29.43426455,20.78747423,13.34050655,30.1325198,25.22454,32.48653645,49.75000606,39.47400426,12.38838024,,,26.25275669,43.432987,28.88522588,37.78050613,36.68936935,33.43864874,24.74013039,46.79962438,37.85675545,29.32051888,25.90665279,20.78747462,1,1,0,0,0,0,0,0,0
4,5,113.5332375,34.76824268,1.278180029,29.31167907,23.84510687,44.653012,7.852438493,11.64741212,20.09725628,36.885253,,34.84962953,29.94405472,25.08296232,,35.25522381,19.22568559,23.36925233,30.83187552,40.30025635,23.31199428,,,38.58798218,26.47994439,16.35563011,17.21392996,10.8083915,31.84258419,29.15430943,21.29645992,13.40899349,30.09378158,25.4765458,32.28672816,50.07654148,39.6544515,12.34951198,,,26.14308867,43.40418195,28.91435403,37.95062825,36.55747638,34.02627905,24.98888876,47.27166014,37.87755196,29.29568285,26.00416802,20.66032074,1,1,0,0,0,0,0,0,0
5,6,113.5433194,34.76597034,0.992586695,39.66534514,33.46483097,20.99927564,5.363538028,10.69874126,20.27798134,37.36530147,,34.2844358,28.58642942,26.19484905,,35.61542989,19.65826396,22.60588226,30.50265279,39.63440882,23.05823237,,,37.95000581,25.97753718,16.05874755,16.70017821,10.95113258,30.77570217,29.62707597,20.58094836,12.88550663,30.05309192,25.03062676,32.47829698,48.68149134,39.2929217,12.08813152,,,25.74013668,42.93775768,28.12038212,36.79604296,35.82180729,31.99461981,24.92600651,47.2478941,37.5004994,28.96007037,25.86056481,21.16595633,1,1,0,0,0,0,0,0,0
6,7,113.5433015,34.76517211,0.857862138,40.1225072,34.85970456,20.84023669,7.452093601,10.68936675,20.32598109,37.65344477,,34.33793055,28.67994022,26.04704134,,35.32905361,19.63247304,22.60887482,30.55000587,39.5262798,23.06637936,,,38.12580423,26.05403166,15.99787231,16.92730737,11.0030077,30.70050659,29.69380304,20.70225525,13.05572055,30.13176684,25.03870122,32.51400717,48.85784294,38.98286293,12.06165246,,,25.64407191,42.98618081,28.20222906,36.9954143,35.815993,32.09137741,24.92434596,47.04371653,37.4175832,29.02376484,25.81037639,21.21272297,1,1,0,0,0,0,0,0,0
7,8,113.5420498,34.76596172,0.94429394,40.76458901,33.20788776,22.95327151,6.234013671,10.81393248,20.20630316,37.17481273,,34.54215694,28.68056929,26.37136163,,35.13868512,19.53211776,22.61783254,30.47775813,39.53198129,23.02506586,,,37.79797593,25.91852428,16.19987367,16.76920581,10.85188293,30.72938118,29.35026094,20.32443546,12.91469023,30.03654819,25.05101176,32.31806352,48.35612664,39.4413681,12.09375629,,,25.81824229,42.84355183,28.12786923,36.84600506,35.75827855,32.09678796,24.83418313,46.96325588,37.44409352,28.81561182,25.79525585,21.15000703,1,1,0,0,0,0,0,0,0
8,9,113.5556906,34.75381203,1.219102605,27.5104184,50.61497984,14.6051269,13.97597998,9.477267262,18.85658899,37.51054671,,35.04258488,28.96250629,25.78723951,,34.18131024,19.16568577,22.43683809,31.33555334,38.15136417,21.84213142,,,38.71304476,25.73868489,15.33367843,17.37403551,10.5973004,30.89956377,28.60579561,18.44811935,13.85713005,30.32525768,24.77252216,32.52056563,49.44163922,36.7180013,12.44025223,,,26.58852434,42.10208053,27.17413158,36.69310993,36.12709625,33.36484916,23.74481626,44.88086955,37.68215942,28.83475742,22.42588196,21.80734697,1,1,0,0,0,0,0,0,0
9,10,113.5830325,34.74293878,0.909751684,22.93270988,36.85930164,35.89181214,5.735147135,7.072071634,16.9377552,37.58758861,,33.86671564,28.86734781,23.51631482,,34.3760621,18.93456764,23.46416413,30.14503735,37.04654459,22.55278439,,,40.29559535,25.45102454,15.39335945,15.81317875,10.50013459,31.12590776,31.04906196,20.17173315,12.81174559,30.42370945,25.12625542,33.21013348,48.15021094,40.62600708,12.00663147,,,26.10975609,42.67950649,27.82866489,35.91713142,34.6756319,32.69713192,22.86734878,44.61886771,36.67980755,29.54638119,18.73544629,21.50827705,1,1,0,0,0,0,0,0,0
10,11,113.5760866,34.75684922,1.124988169,44.71965327,27.83328484,20.69084052,11.09766083,7.617927131,19.93184109,36.79000385,,34.52572881,29.76392019,26.10395813,,35.34712987,18.3854201,23.20774102,30.35076518,37.85555184,21.94363714,,,39.08394263,25.3829032,16.07071958,16.33383405,10.03098522,30.03775044,30.39303288,20.00725689,12.50925143,30.97679858,24.72012997,32.89702081,48.35444915,36.4807026,12.36786772,,,26.08409339,42.10466373,27.40605601,36.04081356,35.11497431,33.21500626,23.34526885,44.93980539,36.57515422,29.0759023,24.2237995,21.43957178,1,1,0,0,0,0,0,0,0
11,12,113.545412,34.76844104,0.875419391,33.55771096,30.79654675,21.05150694,2.74192931,10.54806528,19.87566524,36.52375736,,33.88886502,28.393143,26.20430912,,35.81581214,19.73734029,23.0511268,30.68152454,40.09247599,23.52338028,,,37.4580061,26.53456212,16.29734783,15.8088626,11.06056545,31.1114972,30.30510131,21.5340065,12.17272177,30.17604343,25.39741403,32.28155047,48.04452198,40.46576205,11.96736558,,,25.40628736,43.56193268,28.8555069,36.07327558,36.37440827,31.77377895,25.18236411,48.29962119,37.97525539,28.76121647,26.46888065,20.97466081,1,1,0,0,0,0,0,0,0
12,13,113.545314,34.76628203,0.79229108,39.25174538,28.84528269,23.59806344,2.400740013,10.52220473,20.23088659,37.58654093,,33.99226926,28.64600525,25.80256829,,35.68040609,19.8657893,23.02210659,30.66440552,40.10752215,23.46837959,,,38.0882355,26.32605546,15.9549751,16.48753023,11.07164241,30.89563236,30.39875622,21.26425514,12.72146979,30.27875614,25.29000532,32.63481239,49.00856578,39.40761737,12.07604577,,,25.67329832,43.28161244,28.74038181,36.82025414,36.27620823,32.24521192,25.24355152,47.81191744,37.84761594,29.03370074,26.06688118,21.14100723,1,1,0,0,0,0,0,0,0
13,14,113.5828347,34.7400096,1.171789469,33.63559874,33.76315421,28.41822004,4.041670769,7.151192556,17.9975358,38.14051302,,33.73408075,28.42459778,23.64985366,,35.27931044,18.41674049,22.55429126,30.16075649,36.66925621,21.90344052,,,39.65534717,24.75642098,15.18612957,15.74575887,10.49481645,31.09149739,29.9354839,19.38296716,12.96775627,30.14396869,24.64696763,33.07535645,47.85946955,40.61401062,11.98975658,,,26.59086873,41.95500565,26.70487976,35.37025226,34.57214605,32.14089386,22.37785533,43.6778052,36.40900004,29.56862213,17.40260712,21.30198085,1,1,0,0,0,0,0,0,0
14,15,113.5729241,34.75027239,1.249260281,29.87690436,56.51727659,9.742541766,9.478506602,7.90735667,19.1418292,37.31530044,,33.69994264,29.18750553,25.05000648,,35.68635592,18.84223481,22.63425426,30.10901258,36.43649676,21.5484796,,,38.57456236,24.9830491,15.69221212,16.35208017,10.53825588,30.04497444,29.93905231,19.96484893,12.94833079,30.12761587,24.7457552,33.00414611,47.32009041,37.64500745,12.08484827,,,26.24350586,41.55943191,26.88188,36.08139907,34.49113819,32.41733641,22.22948341,43.69633465,36.06256984,29.11595598,23.6900068,21.52887539,1,1,0,0,0,0,0,0,0
15,16,113.5769673,34.75118647,1.20010989,36.18280704,42.28911279,19.26717846,9.374582899,7.533209583,19.56281133,,,34.43553862,29.58100567,24.90688171,,34.55699241,18.89755249,23.01612949,30.66086983,37.66768287,21.7468811,,,39.71077591,25.13881699,15.73108145,16.53200588,10.47677074,30.61852358,30.10716789,20.54625626,13.11100731,30.6281311,24.84723687,33.40228465,48.91114299,37.77100525,12.19895035,,,26.52500439,41.8979306,26.84560313,36.54283689,35.26258533,32.9991885,22.80086775,44.44244209,36.85758628,29.74911305,22.94755834,21.80148786,1,1,0,0,0,0,0,0,0
16,17,113.5753379,34.74527723,1.215563994,26.92644556,50.29816296,22.775389,14.84505225,7.73275587,18.18375511,38.50735833,,33.52809464,28.81949973,24.15247449,,35.0315117,18.8717556,22.47930346,30.47547088,36.48806979,21.53792536,,,39.53893621,24.20727293,15.11825638,16.13729488,10.63228366,31.27790415,29.66891124,19.91378055,13.33975394,29.8301324,24.26563187,33.31692818,48.86433411,,11.95975475,,,26.50242814,41.17938835,26.77000559,36.12407976,34.43924723,32.38620884,22.30631232,42.73025976,36.18253722,29.16137995,,21.46388092,1,1,0,0,0,0,0,0,0
17,18,113.5850458,34.74744698,0.947519892,41.03683713,23.69636963,31.80001943,6.031841534,6.822535406,17.0244508,,,34.67745801,29.52803115,23.82962596,,33.23503871,19.47652475,24.07316509,30.95531398,37.98718457,22.73261974,,,40.97217108,26.16722226,16.33460288,16.73747524,10.6475078,31.35892385,31.96710921,21.56434583,13.33608217,30.73892367,25.36350727,33.88450642,50.07528183,,12.17062284,,,26.35354923,43.54107628,28.3178259,37.38031669,35.96692064,33.8703799,23.46635811,45.98230492,37.48922937,30.51874069,21.5775844,22.27588081,1,1,0,0,0,0,0,0,0
18,19,113.5882889,34.73914889,1.404803897,29.24810599,46.25361326,16.62600304,5.950833345,6.685780797,19.78888755,38.5943286,,33.4409952,28.68887406,24.2327766,9.624293736,34.99727898,18.57276904,22.45975628,30.46800518,36.73051298,21.90525289,,,39.59249158,24.75684539,15.13063462,15.75414471,10.53128873,31.20334016,30.34682081,19.58578017,12.61629481,30.25201973,24.8124725,33.09113159,48.06880737,38.45793783,12.22588234,,,26.6019807,41.84342208,26.70758978,35.55957107,34.65250607,32.25877192,22.94937729,43.90275688,36.76276659,29.92244173,16.78062232,21.57554099,1,1,0,0,0,0,0,0,0
19,20,113.5934862,34.75030996,1.073866989,55.79761221,19.5439113,10.0323773,2.61936129,6.02643796,19.30678645,,,35.21534701,29.58453957,25.0834507,,34.8831706,19.45706386,22.74531503,31.47355092,38.00900096,21.99517263,,35.10391899,41.40950642,25.81906025,16.85753603,17.09907333,10.26707316,31.96145246,31.5380558,20.67000498,13.84292621,30.49340264,24.97063595,34.48535195,51.69485381,,12.38421938,9.031646729,,27.04864822,42.44800587,27.34938202,37.12044075,36.12246013,33.41239593,24.06836974,45.60434382,37.68987499,31.08346404,22.46654784,22.02259902,1,1,0,0,0,0,0,0,0
20,21,113.6118298,34.75479785,1.169800044,73.35851177,16.10941351,9.486507186,6.569160984,4.337792809,21.58160016,,,35.07088127,29.75425549,25.02225437,10.60818842,34.10661038,20.0148783,22.82405901,31.793277,36.28427396,22.14013189,,35.17385694,41.15534679,25.53650608,16.53868477,17.4127552,10.24447248,30.86488132,31.77634255,19.17913686,14.58425655,30.40354997,25.21012983,34.14563236,52.02611467,,13.15200539,9.450006208,,26.84702486,43.50453878,27.25909763,37.26063004,36.91453312,34.66926518,24.72354638,46.18255255,37.81820584,30.8530828,22.54920553,22.33153364,1,1,0,0,0,0,0,0,0
21,22,113.613922,34.75053228,0.906742661,70.72437259,18.26099755,9.969063737,7.048697089,4.157461325,21.64818674,,,35.54296242,30.09942607,25.06200657,10.72352009,32.07266467,19.92137985,23.20625496,31.57013015,36.95763819,22.2623037,,34.05063442,41.16425724,25.78263149,16.08503808,17.35875416,10.06019352,30.8697531,31.8011867,19.72417925,14.3300066,30.49787333,25.25900688,34.25975647,51.9720235,,13.21621875,9.472600866,,26.85679532,43.24210386,27.41094684,37.63350639,37.11138743,34.84714939,24.27625618,45.51550446,37.61189299,31.13115543,21.98667117,22.25013128,1,1,0,0,0,0,0,0,0
22,23,113.6123513,34.76667146,0.692040457,62.09409009,26.94006099,10.9658502,2.051654439,4.528315448,19.05100018,,,34.46988198,30.11584473,25.82763098,10.36052404,33.88219164,19.75475923,23.6406233,32.071398,33.01878139,22.44177096,,35.04655061,40.75124781,25.01175632,16.24041832,16.43497576,9.309502368,30.90087929,31.44665148,20.66482073,13.15112381,30.58713188,25.16900501,34.32686246,51.2336282,,12.76544923,9.131174657,,27.11889498,42.18250627,28.06569298,36.88425446,35.4356552,34.06525612,24.73538246,45.49957105,37.1668423,30.68798036,23.21296918,21.99083186,1,1,0,0,0,0,0,0,0
23,24,113.6149885,34.74933149,0.671728726,70.33203696,20.98256865,7.63982821,7.114720081,4.073261455,21.67384046,,,35.62839124,29.98898724,25.53460219,10.6951223,32.03948658,19.91728889,,31.5853521,36.98684813,22.25840138,,33.4734023,41.19868575,25.74393048,15.92926101,17.31579206,9.933630562,30.87846688,31.62371749,20.54680615,14.416963,30.38914325,25.1600693,34.30261794,51.92400485,,13.18405827,9.462799622,,26.80886628,42.96155847,27.27388115,37.53827809,36.94938697,34.6931324,24.21239697,45.28157648,37.5987545,31.17467312,22.0241819,22.27595559,1,1,0,0,0,0,0,0,0
24,25,113.6161456,34.75975293,1.05371985,65.94213728,25.40646181,8.651399583,2.6197604,4.000003326,21.44182425,,,34.47420436,29.19352636,24.62163048,10.20633551,33.45440392,20.23445073,22.36965836,31.55298742,33.34276733,21.81365429,,33.6741312,40.46630351,24.66422123,16.27113018,17.20513077,9.508498936,29.66775551,30.77525711,19.15648075,14.66170267,29.48682127,24.41447591,33.85395587,51.42110078,,13.00686146,9.143169436,,26.91346213,43.37160988,26.86204529,36.99725475,36.13192866,34.14173531,24.36838074,45.39277409,36.71758332,30.31462175,22.4435013,21.94959314,1,1,0,0,0,0,0,0,0
25,26,113.6092109,34.75617553,1.837259838,71.30722268,18.31606943,10.19205497,6.265666066,4.584702993,21.34223572,,,35.05937388,29.48585462,25.47789572,10.47263487,35.33182456,19.98395478,22.77861274,31.83013263,36.22127176,21.92493679,,35.26698697,41.13525448,25.44093749,16.3561306,17.34421986,10.32938006,31.23164147,31.14686172,19.59904363,14.7323533,30.11975136,25.00661022,34.13013093,52.1426299,,13.04456165,9.480432233,,26.86438198,43.31176719,26.97140958,37.16938488,36.75621725,34.50888004,24.554409,46.35850754,37.89810818,30.65364152,22.27273933,22.39100628,1,1,0,0,0,0,0,0,0
26,27,113.6119614,34.7576339,0.906016516,65.84898657,22.02146281,12.12954962,5.391857879,4.347211512,21.36660492,,,34.86887499,29.37138004,25.07013252,10.44814638,35.20143563,20.07658966,22.76933401,31.80525665,35.13164949,21.97039855,,35.03138065,40.90313053,25.32725677,16.37076113,17.37249017,10.0863821,30.47872514,31.2523819,19.54187448,14.66774208,29.97225666,24.76749022,33.95298739,51.95364435,,13.08173286,9.432313772,,26.84138126,43.54850445,27.02000583,37.07807913,36.66837085,34.42271011,24.54432659,46.05037902,37.60575676,30.61460973,22.63500624,22.3014771,1,1,0,0,0,0,0,0,0
27,28,113.6118298,34.75479785,0.740530762,73.35851177,16.10941351,9.486507186,6.569160984,4.337792809,21.58160016,,,35.07088127,29.75425549,25.02225437,10.60818842,34.10661038,20.0148783,22.82405901,31.793277,36.28427396,22.14013189,,35.17385694,41.15534679,25.53650608,16.53868477,17.4127552,10.24447248,30.86488132,31.77634255,19.17913686,14.58425655,30.40354997,25.21012983,34.14563236,52.02611467,,13.15200539,9.450006208,,26.84702486,43.50453878,27.25909763,37.26063004,36.91453312,34.66926518,24.72354638,46.18255255,37.81820584,30.8530828,22.54920553,22.33153364,1,1,0,0,0,0,0,0,0
28,29,113.6152581,34.75099757,1.422118103,74.66348964,17.07496439,7.215978521,7.78835741,4.031540926,21.75425612,,,35.39658906,29.88420016,25.25242663,10.75483362,32.38253726,19.97300491,23.55857195,31.60283656,36.52663015,22.15261519,,33.93491215,40.95875683,25.64684209,16.17488232,17.34800434,9.940950755,30.61497488,31.52416878,20.31862746,14.48876422,30.38653951,25.11475658,34.19725647,52.18857629,,13.19563332,9.482598764,,26.8349744,42.94113026,27.18530194,37.51431023,36.86975251,34.62519252,24.46557579,45.30456176,37.53100471,30.75319818,22.29310978,22.29825535,1,1,0,0,0,0,0,0,0
29,30,113.616258,34.75478581,0.852240867,76.1548052,18.59995853,4.199669277,5.342833426,3.932403476,21.70560425,,,35.15050697,29.72263126,25.10625553,10.68051117,33.35013681,20.14610626,23.07439665,31.81038675,35.54435004,22.03189279,,34.13249045,40.9878957,25.51062464,16.57088165,17.49830503,9.901274908,30.23425446,31.53435483,20.73058786,14.60296989,30.32450638,24.78914087,34.02111779,52.41816163,,13.14081493,9.469429603,,26.76913736,43.39629976,27.13582759,37.39186826,36.85113717,34.54346306,24.78556051,45.67864745,37.54441634,30.80000619,22.6116503,22.30314021,1,1,0,0,0,0,0,0,0
30,31,113.606576,34.73527608,0.713652686,84.43591451,15.0756016,0.488483082,2.484958233,5.226340886,22.33780445,,,34.34525452,28.93914324,26.29837216,10.11708959,33.8206581,19.63395578,,31.12408071,37.45667406,21.64560359,,35.38176952,40.42677525,24.26397284,16.08547711,16.97113075,10.21433894,27.99266593,30.418362,20.83924615,14.41962771,29.89610247,24.90081332,34.08727269,50.638217,40.80908118,12.79075101,9.116838538,,27.40613079,42.59202981,26.5151964,37.19250622,35.65338058,33.86988115,22.90475502,43.86233213,36.79315546,31.35203108,19.90538139,22.45012957,1,1,0,0,0,0,0,0,0
31,32,113.6118298,34.75479785,0.663865829,73.35851177,16.10941351,9.486507186,6.569160984,4.337792809,21.58160016,,,35.07088127,29.75425549,25.02225437,10.60818842,34.10661038,20.0148783,22.82405901,31.793277,36.28427396,22.14013189,,35.17385694,41.15534679,25.53650608,16.53868477,17.4127552,10.24447248,30.86488132,31.77634255,19.17913686,14.58425655,30.40354997,25.21012983,34.14563236,52.02611467,,13.15200539,9.450006208,,26.84702486,43.50453878,27.25909763,37.26063004,36.91453312,34.66926518,24.72354638,46.18255255,37.81820584,30.8530828,22.54920553,22.33153364,1,1,0,0,0,0,0,0,0
32,33,113.6148438,34.75683413,0.717064897,69.0962414,20.26591876,10.00478307,4.236269085,4.07586958,21.51061087,,,35.049757,29.57522318,24.83679538,10.56333923,33.83853943,20.28088188,22.87198345,31.79730167,34.98405119,22.0117342,,34.46013126,40.98367812,25.30280318,16.55616904,17.48963236,9.938164159,30.17637508,31.63742814,19.90805999,14.65654558,30.17866992,24.73512878,33.93062729,52.30481661,,13.10208149,9.40593001,,26.73658868,43.69742531,27.16784311,37.48887222,36.71051199,34.60101975,24.86913627,45.92094892,37.45076018,30.84217418,22.67309446,22.29903879,1,1,0,0,0,0,0,0,0
33,34,113.6000487,34.77615041,1.182031419,58.42046015,28.36451184,13.21502913,5.798748348,5.966983552,20.73138142,,,34.74518915,28.57186795,24.56350651,,,19.05475674,22.10785472,31.53843411,33.75250626,21.86120222,,34.0981593,39.67767871,24.63174533,17.44262038,16.45113925,8.988641206,31.07679673,29.44675751,16.53109852,13.66198128,29.14106172,24.28764485,33.49277444,50.29909525,,12.71906305,8.802636398,,27.01338139,41.84725504,27.07667259,36.14938164,35.69778379,33.23445054,23.26863117,43.80531462,36.96317438,29.52837098,20.27845376,21.86349923,1,1,0,0,0,0,0,0,0
34,35,113.5981445,34.77644373,1.23324587,66.06157821,18.66558561,15.27283667,5.421589431,6.139026877,20.92809592,,,35.08862839,28.80802917,24.97895064,,,19.34864077,22.71650658,31.61713161,34.71640503,22.15272409,,33.30561957,40.34522502,25.21975341,17.6335907,16.51963291,9.246528957,31.58312658,30.27179013,16.12000621,13.44635682,29.63367704,24.68582926,33.75658948,51.50673961,,12.65911923,8.710006714,,27.13838196,42.58138864,27.66525536,36.63728973,36.07566372,33.98292589,23.8360446,44.62700558,37.51688118,29.93975231,20.31705038,21.9553174,1,1,0,0,0,0,0,0,0
35,36,113.5952102,34.77413974,1.202387001,50.85739315,15.87885087,32.05243387,9.761550018,6.287270352,20.48903976,,,34.86225529,29.46012936,24.73568669,,14.92125511,19.38392042,23.59625549,31.276507,34.09125824,22.26538124,,32.19289969,40.35420937,25.33313217,17.54829868,16.63124795,9.366757202,31.38898521,31.1991789,,13.35038306,30.421544,25.22130476,34.21355042,50.62733927,,12.73101308,,,26.97114505,42.64988052,27.89298793,36.75747372,35.75714014,33.98720458,24.09818388,44.54593272,37.24824514,29.78267293,20.52951201,21.88196493,1,1,0,0,0,0,0,0,0
36,37,113.5949944,34.77246248,0.931200709,40.63919215,19.74238353,28.57646691,12.84380958,6.240686228,20.24589467,,,34.43286265,29.28987856,24.43798249,,14.94000244,19.19766122,23.44063091,31.13937397,33.2515473,21.98690095,,32.37272117,39.83311112,24.98620857,17.22934338,16.61266395,9.193529045,30.76491096,30.74723883,17.87400513,13.40198131,30.27269745,24.98363655,33.81713104,49.26060213,,12.66513138,,,26.92963028,42.02799422,27.4178812,36.25329686,35.28198028,33.59596944,23.73838139,43.88170542,36.5448801,29.20447492,21.17596815,21.87696321,1,1,0,0,0,0,0,0,0
37,38,113.6012401,34.78124773,1.24790326,65.93263797,32.32199043,1.74537108,2.493415655,6.131239347,21.20800571,,,33.71873976,28.55422765,25.76359049,,35.51558526,19.12852516,21.66049967,31.31716693,31.80702696,21.99127197,10.34250641,34.60870042,39.99775658,23.95881087,16.27102706,16.16371644,8.936046421,30.70899992,29.16723978,15.96861019,13.94466557,29.12118682,24.45813179,33.74714822,50.70539054,39.40464038,12.80825462,8.869995117,,26.88308812,40.95906576,26.83889394,36.08097455,35.27791755,33.18800659,23.168142,43.42200584,36.18132796,29.94590407,21.62400627,21.70623242,1,1,0,0,0,0,0,0,0
38,39,113.6048784,34.79326857,1.054540272,30.98918264,23.74994238,39.44009221,4.692023042,6.644347971,20.79765979,,,34.79647528,28.69882638,26.98109841,,35.18667312,19.95360949,23.28688862,31.7459807,36.22850323,22.46728911,10.49281788,37.4035059,39.77957229,24.98658637,15.00661061,16.56267647,9.077175116,31.48564918,31.33494278,17.20425758,13.07560608,29.88901212,25.2952288,33.57385671,50.65290728,42.64317407,12.1664006,,,26.254673,42.84173452,27.86519497,34.88651701,36.22025252,33.38170465,24.05319052,45.71138077,37.65931443,30.01051457,23.7033392,21.94118637,2,0,1,0,0,0,0,0,0
39,40,113.6054579,34.78711559,1.160130724,34.01900493,28.72777149,32.3011985,2.604937971,6.170102297,20.7107613,,,34.71712985,28.92600574,26.14750557,,35.81776065,19.12355099,23.064069,31.93425522,36.13722738,22.30025724,10.59586834,34.48425433,40.07900543,25.13605414,15.48057201,16.18950866,9.169830588,31.56065098,30.78370949,17.59958445,12.70457308,30.12725639,25.86805725,33.68173387,51.61168351,41.31466003,12.43509716,,,26.45952095,42.26761574,27.49000578,34.68551636,36.24256995,33.42889574,23.90132592,44.48677622,37.91679608,30.05566637,22.55900555,22.00677623,2,0,1,0,0,0,0,0,0
40,41,113.6054579,34.78711559,1.078217366,34.01900493,28.72777149,32.3011985,2.604937971,6.170102297,20.7107613,,,34.71712985,28.92600574,26.14750557,,35.81776065,19.12355099,23.064069,31.93425522,36.13722738,22.30025724,10.59586834,34.48425433,40.07900543,25.13605414,15.48057201,16.18950866,9.169830588,31.56065098,30.78370949,17.59958445,12.70457308,30.12725639,25.86805725,33.68173387,51.61168351,41.31466003,12.43509716,,,26.45952095,42.26761574,27.49000578,34.68551636,36.24256995,33.42889574,23.90132592,44.48677622,37.91679608,30.05566637,22.55900555,22.00677623,2,0,1,0,0,0,0,0,0
41,42,113.6054579,34.78711559,1.156425985,34.01900493,28.72777149,32.3011985,2.604937971,6.170102297,20.7107613,,,34.71712985,28.92600574,26.14750557,,35.81776065,19.12355099,23.064069,31.93425522,36.13722738,22.30025724,10.59586834,34.48425433,40.07900543,25.13605414,15.48057201,16.18950866,9.169830588,31.56065098,30.78370949,17.59958445,12.70457308,30.12725639,25.86805725,33.68173387,51.61168351,41.31466003,12.43509716,,,26.45952095,42.26761574,27.49000578,34.68551636,36.24256995,33.42889574,23.90132592,44.48677622,37.91679608,30.05566637,22.55900555,22.00677623,2,0,1,0,0,0,0,0,0
42,43,113.5900512,34.78408483,0.63409529,35.1906345,48.13526275,9.581406853,23.57726701,7.17953985,20.87383317,,,33.72419847,28.81795696,26.04069855,,35.83040771,18.56588364,22.9491247,30.86615483,31.85711772,21.27213135,,33.33025589,38.43545088,24.93605569,16.11176554,17.17541389,9.583956306,30.3721302,29.32296254,18.29411265,13.73949964,29.52481562,24.36950281,32.7732985,48.60942133,39.48937681,12.64062255,,,26.72205705,41.2028126,26.16025543,35.88778423,35.25227153,32.37818247,22.94370029,44.37683883,35.96686194,29.06447078,21.13519118,21.27260906,1,1,0,0,0,0,0,0,0
43,44,113.6131314,34.78075345,1.328086693,44.84360398,42.91919618,12.23719735,5.131875444,5.185670624,20.98475494,,,33.10324983,28.14342295,26.57497581,,34.01083967,19.09584377,22.19455303,31.07236476,28.8400116,21.68371017,10.59388084,34.33472571,39.35113717,23.58338146,15.6287639,16.69919714,,29.9433395,29.37600555,19.77550621,13.97176683,28.93875618,24.0535512,33.45497297,50.91455118,35.5011342,12.71857794,9.39471286,,27.16650045,41.05201923,26.74242842,34.8799119,34.86528574,33.21580901,23.40950603,43.56038598,35.53522297,29.72095242,22.19438133,22.03550529,2,0,1,0,0,0,0,0,0
