,No.,GaodeLng,GaodeLat,housing_price,compact,open,large_low_rise,UGS,Distance,T20200518,T20210725,T20210324,T20191002,T20190904,T20221020,T20190306,T20230809,T20211221,T20191031,T20220522,T20200610,T20210505,T20200129,T20220410,T20220628,T20220406,T20200202,T20221125,T20230412,T20220611,T20210427,T20230408,T20211125,T20190707,T20220505,T20220702,T20230804,T20190610,T20191018,T20210212,T20210613,T20230915,T20210530,T20210501,T20190815,T20220928,T20200902,T20220501,T20220530,T20220526,T20230612,T20210328,T20200324,District_id,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Dist_8
638,639,113.598374,34.8871923,1.120581879,0.0,43.52914702,14.96689828,5.144077287,15.84067601,17.07063399,34.50046668,11.52500916,31.45688585,27.73850746,25.49177499,,31.83294566,18.61099488,22.11979351,30.25875607,35.68866984,21.5305114,,33.42297556,37.66000679,23.92799329,14.08289659,15.96963463,,30.84752072,28.84075489,19.36755496,12.21453435,29.19214481,24.5968811,31.80360103,45.2856771,,10.16388035,,,24.60647723,,25.34686203,32.97725498,33.31310799,31.42457373,22.73522267,41.71352823,35.09275684,28.07116073,12.18000447,17.05907502,7,0,0,0,0,0,0,1,0
639,640,113.5263522,34.91333129,0.90147797,0.212383973,62.79332662,6.745100088,23.52625668,21.49659446,18.82282375,33.6782356,14.14463234,31.19407955,27.38114485,22.52958228,,31.38416646,17.92529955,21.65101797,28.86238174,35.17038505,20.82854183,,31.78020283,36.21199367,23.3576622,,15.63428329,,30.64665194,28.4009505,20.11925564,12.33152462,28.37579327,23.69795729,29.93373212,43.39448633,34.68854355,9.772631454,,,23.12342313,,23.69047085,32.40560318,32.14076561,29.83363094,,38.98635749,32.11770763,24.08847915,,16.57843421,7,0,0,0,0,0,0,1,0
640,641,113.5134544,34.91439015,1.409796882,1.043655679,67.35533278,3.615781284,0.0,22.27902085,19.35593217,32.80032485,12.74391866,30.70132715,26.79956688,24.6017395,,30.63513379,17.35559708,20.77111681,28.25086937,33.75025882,20.25906391,,32.70815494,34.68640383,21.95376656,11.29000854,15.68032031,,29.25793016,27.42605497,20.28075504,12.4866312,27.40089069,22.52233273,29.27815878,41.87579169,37.41842789,9.334477774,,,22.18087669,,22.75137997,31.94094964,31.58899885,28.77460304,,36.58812018,30.74089868,21.91745416,,16.14031679,7,0,0,0,0,0,0,1,0
641,642,113.5634123,34.89304934,1.350118459,3.095720183,51.33445354,32.38026944,23.35490152,17.78922934,17.20620422,35.73556066,12.64253866,32.1280077,28.12813244,24.91000599,,32.50427205,18.73205703,21.92686146,29.85063076,36.93616075,21.30688171,,32.72473366,37.80590593,24.35667237,14.57334137,15.75825577,9.781632042,31.77481357,28.63581809,20.53329545,,28.73325672,24.31769855,31.31582586,46.50137017,37.54859787,9.782678071,,,25.29025401,,24.78763065,34.11843335,33.9346891,31.03158449,,42.62570171,34.81138908,24.95466342,,17.41766018,7,0,0,0,0,0,0,1,0
642,643,113.5443837,34.9066502,0.917850838,9.413803668,58.35954571,8.651556558,22.96925665,19.97485507,18.40188122,34.75573987,14.74069598,31.87207031,27.77026889,23.73770786,,31.32482232,18.62513084,22.49443692,29.89617037,36.66255809,20.89642142,,32.32131989,37.95085037,25.17981706,,16.12395732,9.470011393,31.40413151,27.6718367,22.07442187,,28.46771622,24.1041458,31.00805907,46.85585327,38.31818598,9.43893567,,,23.74026352,,24.52938099,33.07613163,34.77188168,30.90795507,,41.40861357,33.16304898,26.07248245,,16.84691855,7,0,0,0,0,0,0,1,0
643,644,113.5143977,34.91602401,0.678956255,1.043655679,55.58964963,6.817817975,1.057643009,22.37326185,19.41050389,32.77731401,12.64443622,30.75919906,27.11213131,24.68718745,,30.85051884,17.37975636,20.96264894,28.09795555,34.23485001,20.35114665,,32.45638123,34.80152487,22.03776577,,15.63174514,,29.34197998,27.49646584,20.31956396,12.39313049,27.72640328,22.61199401,29.21942592,41.84318179,36.92714894,9.479753518,,,21.86227336,,22.83329541,31.98145222,31.51076459,28.82264457,,36.85282722,30.825413,22.71829625,,15.90425777,7,0,0,0,0,0,0,1,0
644,645,113.6034999,34.85848239,0.917257425,2.088509028,47.41568332,30.49649088,9.672401276,12.71142979,19.7964139,35.77524174,12.32849716,34.25211671,28.95962795,26.26000697,,36.14531827,19.34572942,22.88032935,31.80572836,40.39377906,22.09621643,,31.23617411,38.72013149,26.43000584,,16.35650597,9.772132301,30.63564692,29.58750553,23.27336052,12.65975102,30.13784439,25.5613267,32.77085649,48.25142502,41.38530098,11.02296169,,,25.95961996,,27.53211738,33.65722251,36.48525486,32.69355233,23.14849719,46.61443551,38.22544899,29.24230107,25.62350674,19.92438297,7,0,0,0,0,0,0,1,0
645,646,113.536224,34.91037155,0.686983815,2.985823538,54.20436156,5.011446212,21.36934568,20.72274777,18.46074592,34.64203093,15.14588127,32.2570424,27.70329863,23.19584343,,31.31704905,18.55428252,22.39712982,29.50069768,35.87868553,20.9830875,,33.12866237,37.34836852,24.62925568,,15.97497653,,31.17050323,28.27825508,21.20823225,12.47779347,28.73302608,24.20778251,30.77717523,44.36591547,37.51895543,9.618056003,,,23.49214508,,24.47698504,32.62988107,33.7659061,30.52155773,,40.79654698,32.54383417,25.01993332,,16.82975797,7,0,0,0,0,0,0,1,0
646,647,113.5208017,34.83624332,0.919327851,18.15462963,38.82312562,25.27330363,24.04720931,15.64153877,19.97013372,,,33.41139,28.57137057,27.09835128,,32.46861839,17.71126494,21.94044523,30.18963051,39.37472788,21.14275646,,31.25200653,38.03609206,24.8865273,15.79988079,15.99317063,11.03741399,29.49683811,29.26484824,20.99303459,12.53969938,29.70814372,24.09484996,31.09704477,46.2090984,43.1044354,10.27766098,,,25.68583755,41.36823398,25.81688156,35.02675495,34.73838139,32.02565903,22.5057581,44.64975681,34.67063962,27.44560547,24.61163158,19.97000601,2,0,1,0,0,0,0,0,0
647,648,113.521617,34.83308686,0.845710009,27.82429689,42.91382512,22.66973927,11.65944622,15.37765953,20.68851637,,,34.19277436,29.10851387,28.71265598,,32.10641062,18.35975571,22.26258341,30.99981974,40.86818764,21.80911912,,31.90275574,39.6505079,25.26851526,15.56688061,16.00648355,11.27352733,29.99671472,30.35901783,20.65321235,12.71663042,30.08329889,24.70175381,31.88535539,48.47655645,44.27327666,10.69249067,,,26.2705082,42.50764607,26.71100807,35.87300453,35.93758378,32.94069051,22.66575661,46.41150665,36.22588272,28.15430253,25.4255337,20.47739775,2,0,1,0,0,0,0,0,0
